News Name,Unnamed: 0,GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1Type1Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_ADM2Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_ADM2Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL,URL Preprocessed,Len,Language,News Name Suffix
www.barrons.com,224,224,224,224,224,224,208,208,131,115,224,224,224,224,224,224,224,224,224,224,224,203,203,203,86,203,203,203,224,218,218,218,90,218,218,218,224,224,224,224,224,224
finbold.com,220,220,220,220,220,220,206,206,131,97,220,220,220,220,220,220,220,220,220,220,220,206,206,206,47,206,206,206,220,220,220,220,52,220,220,220,220,220,220,220,220,220
bahamaspress.com,218,218,218,218,218,218,193,193,82,115,218,218,218,218,218,218,218,218,218,218,218,191,191,191,166,191,191,191,218,216,216,216,186,216,216,216,218,218,218,218,218,218
www.yahoo.com,216,216,216,216,216,216,193,193,103,113,216,216,216,216,216,216,216,216,216,216,216,192,192,192,75,192,192,192,216,215,215,215,69,215,215,215,216,216,216,216,216,216
www.forexminute.com,212,212,212,212,212,212,191,191,94,115,212,212,212,212,212,212,212,212,212,212,212,186,186,186,61,186,186,186,212,206,206,206,59,206,206,206,212,212,212,212,212,212
www.zdnet.com,209,209,209,209,209,209,191,191,127,89,209,209,209,209,209,209,209,209,209,209,209,184,184,184,47,184,184,184,209,201,201,201,52,201,201,201,209,209,209,209,209,209
themerkle.com,209,209,209,209,209,209,192,192,87,126,209,209,209,209,209,209,209,209,209,209,209,189,189,189,39,189,189,189,209,206,206,206,47,206,206,206,209,209,209,209,209,209
www.sfgate.com,203,203,203,203,203,203,193,193,118,96,203,203,203,203,203,203,203,203,203,203,203,192,192,192,81,192,192,192,203,202,202,202,60,202,202,202,203,203,203,203,203,203
www.thisdaylive.com,203,203,203,203,203,203,190,190,72,135,203,203,203,203,203,203,203,203,203,203,203,185,185,185,101,185,185,185,203,198,198,198,113,198,198,198,203,203,203,203,203,203
www.fool.com,203,203,203,203,203,203,178,178,101,105,203,203,203,203,203,203,203,203,203,203,203,159,159,159,33,159,159,159,203,183,183,183,36,183,183,183,203,203,203,203,203,203
