,GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1Type1Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_ADM2Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_ADM2Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL,URL Preprocessed,Len,Language,Count
115,462580770,20150831,201508,2015,2015.6603,,,,,1,36,36,3,1,4.0,7,1,7,3.19410319410319,0,,,,,,,,4,"Nassau, New Providence, Bahamas, The",BF,BF23,5747,25.0833,-77.35,-1543832,20150831223000,http://www.thebahamasweekly.com/publish/local/BTC_Ministry_of_Foreign_Affairs_Greet_Atlanta_Mayor_at_Working_Luncheon43714.shtml,BTC Ministry of Foreign Affairs Greet Atlanta Mayor at Working Luncheon43714.shtml,82,en,1
117,461104365,20150819,201508,2015,2015.6274,GOV,GOVERNOR,,GOV,1,90,90,9,2,-2.0,10,1,10,-3.63372093023256,4,"Mundra, Madhya Pradesh, India",IN,IN35,17744,23.9833,78.4833,-2105080,4,"Mundra, Madhya Pradesh, India",IN,IN35,17744,23.9833,78.4833,-2105080,20150826123000,http://www.medianama.com/2015/08/223-rbi-crypto-currency-bitcoin/,223 rbi crypto currency bitcoin,31,en,1
118,455945914,20150807,201508,2015,2015.5945,,,,,1,80,80,8,2,5.0,4,1,4,-4.90654205607476,0,,,,,,,,4,"Kyoto, Kyoto, Japan",JA,JA22,35033,35.0,135.75,-235402,20150807160000,http://www.coinspeaker.com/2015/08/07/bitcoin-is-not-subject-to-ownership-says-tokyo-court-to-mt-goxs-customer-11242/,bitcoin is not subject to ownership says tokyo court to mt goxs customer 11242,78,en,1
120,429117665,20150428,201504,2015,2015.3233,CVL,COMMUNITY,,CVL,0,30,30,3,1,4.0,15,3,15,0.911319407984257,4,"Kathmandu, Bagmati, Nepal",NP,NP01,22353,27.7167,85.3167,-1022136,4,"Kathmandu, Bagmati, Nepal",NP,NP01,22353,27.7167,85.3167,-1022136,20150428150000,http://www.4-traders.com/news/igot-com-Launches-Nepal-Earthquake-Bitcoin-Appeal--20271048/,igot com Launches Nepal Earthquake Bitcoin Appeal  20271048,59,en,1
121,499551685,20160105,201601,2016,2016.0137,IGOEUREEC,THE EU,EUR,IGO,1,80,80,8,2,5.0,5,1,5,-2.51346499102334,4,"Rypin, Kujawsko-Pomorskie, Poland",PL,PL73,24324,53.0675,19.4157,-526806,4,"Rypin, Kujawsko-Pomorskie, Poland",PL,PL73,24324,53.0675,19.4157,-526806,20160105141500,http://www.coindesk.com/bitcoins-for-grandma/,bitcoins for grandma,20,en,1
122,515395595,20160225,201602,2016,2016.1507568359373,ESP,SPANISH,ESP,,1,51,51,5,1,3.400000095367432,2,1,2,1.8145161867141724,4,"Barcelona, Comunidad Autonoma de Cataluna, Spain",SP,SP56,25806,41.38330078125,2.1833300590515137,-372490,4,"Barcelona, Comunidad Autonoma de Cataluna, Spain",SP,SP56,25806,41.38330078125,2.1833300590515137,-372490,20160225153000,http://www.newsbtc.com/2016/02/25/chip-chap-connects-traditional-banking-with-bitcoin/,chip chap connects traditional banking with bitcoin,51,en,1
123,493791298,20151213,201512,2015,2015.9397,POL,POLE,POL,,1,43,43,4,1,2.8,2,1,2,1.40515222482436,4,"Lulea, Norbotten, Sweden",SW,SW14,16222,65.5833,22.15,-2502432,4,"Alvsbyn, Norbotten, Sweden",SW,SW14,16222,65.6667,21.0,-2467430,20151213110000,http://www.newsbtc.com/2015/12/13/knc-miner-to-setup-another-data-center-in-the-arctic/,knc miner to setup another data center in the arctic,52,en,1
124,451358043,20150722,201507,2015,2015.5534,USAGOV,JOE BIDEN,USA,GOV,1,42,42,4,1,1.9,1,1,1,-4.27350427350428,3,"Los Angeles, California, United States",US,USCA,CA037,34.0522,-118.244,1662328,3,"Beverly Hills, Colorado, United States",US,USCO,,39.475,-104.88,203040,20150722170000,http://www.topix.com/forum/us/TMR8BTCE08U88F7PC,TMR8BTCE08U88F7PC,17,en,1
125,453702335,20150730,201507,2015,2015.5753,USA,UNITED STATES,USA,,1,51,51,5,1,3.4,4,1,4,3.68906455862978,2,"Michigan, United States",US,USMI,,43.3504,-84.5603,MI,2,"Michigan, United States",US,USMI,,43.3504,-84.5603,MI,20150730171500,http://cointelegraph.com/news/115014/rick-perry-wants-to-give-bitcoin-regulatory-breathing-room-bitcoin-shop-rebrands,rick perry wants to give bitcoin regulatory breathing room bitcoin shop rebrands,80,en,1
126,505449568,20160125,201601,2016,2016.0685,BWA,BATSWANA,BWA,,1,51,51,5,1,3.4,7,1,7,3.6697247706422,1,Botswana,BC,BC,,-22.0,24.0,BC,0,Botswana,BC,BC,,-22.0,24.0,BC,20160125151500,http://www.thevoicebw.com/2016/01/25/btcl-shares-get-over-10-000-applications/,btcl shares get over 10 000 applications,40,en,1
127,490187034,20151201,201512,2015,2015.9068,USA,UNITED STATES,USA,,1,114,114,11,3,-2.0,2,1,2,-2.43902439024391,3,"Boston, Massachusetts, United States",US,USMA,MA025,42.3584,-71.0598,617565,0,"Connecticut, United States",US,USCT,,41.5834,-72.7622,CT,20151201184500,http://247wallst.com/investing/2015/12/01/sec-charges-bitcoin-mining-firm-in-ponzi-scheme/,sec charges bitcoin mining firm in ponzi scheme,47,en,1
